Point.Id,Year,vegtype,cover
TOKA-006,2018,AnnualGr,56.00000000000001
TOKA-006,2018,Forb,9
TOKA-006,2018,Legumes,7.000000000000001
TOKA-006,2018,PereGr,81
TOKA-006,2018,SedgesRushes,3
TOKA-006,2018,ShrubsTrees,9
TOKA-006,2018,Other,0
TOKA-006,2018,BareGround,4
TOKA-006,2021,AnnualGr,71
TOKA-006,2021,Forb,82
TOKA-006,2021,Legumes,50
TOKA-006,2021,PereGr,90
TOKA-006,2021,SedgesRushes,4
TOKA-006,2021,ShrubsTrees,20
TOKA-006,2021,Other,2
TOKA-006,2021,BareGround,0
TOKA-006,2024,AnnualGr,64
TOKA-006,2024,Forb,30
TOKA-006,2024,Legumes,82
TOKA-006,2024,PereGr,78
TOKA-006,2024,SedgesRushes,2
TOKA-006,2024,ShrubsTrees,11
TOKA-006,2024,Other,2
TOKA-006,2024,BareGround,0
TOKA-007,2016,AnnualGr,74
TOKA-007,2016,Forb,28.000000000000004
TOKA-007,2016,Legumes,17
TOKA-007,2016,PereGr,63
TOKA-007,2016,SedgesRushes,3
TOKA-007,2016,ShrubsTrees,0
TOKA-007,2016,Other,3
TOKA-007,2016,BareGround,3
TOKA-007,2018,AnnualGr,39
TOKA-007,2018,Forb,18
TOKA-007,2018,Legumes,0
TOKA-007,2018,PereGr,40
TOKA-007,2018,SedgesRushes,2
TOKA-007,2018,ShrubsTrees,1
TOKA-007,2018,Other,0
TOKA-007,2018,BareGround,42
TOKA-007,2021,AnnualGr,73
TOKA-007,2021,Forb,55.00000000000001
TOKA-007,2021,Legumes,39
TOKA-007,2021,PereGr,15
TOKA-007,2021,SedgesRushes,7.000000000000001
TOKA-007,2021,ShrubsTrees,19
TOKA-007,2021,Other,3
TOKA-007,2021,BareGround,6
TOKA-007,2024,AnnualGr,53
TOKA-007,2024,Forb,34
TOKA-007,2024,Legumes,20
TOKA-007,2024,PereGr,30
TOKA-007,2024,SedgesRushes,6
TOKA-007,2024,ShrubsTrees,2
TOKA-007,2024,Other,0
TOKA-007,2024,BareGround,37
TOKA-013,2018,AnnualGr,64
TOKA-013,2018,Forb,39
TOKA-013,2018,Legumes,5
TOKA-013,2018,PereGr,25
TOKA-013,2018,SedgesRushes,0
TOKA-013,2018,ShrubsTrees,35
TOKA-013,2018,Other,0
TOKA-013,2018,BareGround,7.000000000000001
TOKA-013,2022,AnnualGr,65
TOKA-013,2022,Forb,40
TOKA-013,2022,Legumes,18
TOKA-013,2022,PereGr,24
TOKA-013,2022,SedgesRushes,0
TOKA-013,2022,ShrubsTrees,54
TOKA-013,2022,Other,2
TOKA-013,2022,BareGround,4
TOKA-016,2016,AnnualGr,92
TOKA-016,2016,Forb,20
TOKA-016,2016,Legumes,32
TOKA-016,2016,PereGr,16
TOKA-016,2016,SedgesRushes,0
TOKA-016,2016,ShrubsTrees,0
TOKA-016,2016,Other,30
TOKA-016,2016,BareGround,1
TOKA-016,2018,AnnualGr,70
TOKA-016,2018,Forb,42
TOKA-016,2018,Legumes,20
TOKA-016,2018,PereGr,6
TOKA-016,2018,SedgesRushes,0
TOKA-016,2018,ShrubsTrees,22
TOKA-016,2018,Other,0
TOKA-016,2018,BareGround,8
TOKA-016,2021,AnnualGr,69
TOKA-016,2021,Forb,59
TOKA-016,2021,Legumes,37
TOKA-016,2021,PereGr,10
TOKA-016,2021,SedgesRushes,0
TOKA-016,2021,ShrubsTrees,35
TOKA-016,2021,Other,0
TOKA-016,2021,BareGround,7.000000000000001
TOKA-016,2024,AnnualGr,85
TOKA-016,2024,Forb,33
TOKA-016,2024,Legumes,30
TOKA-016,2024,PereGr,1
TOKA-016,2024,SedgesRushes,0
TOKA-016,2024,ShrubsTrees,34
TOKA-016,2024,Other,19
TOKA-016,2024,BareGround,5
TOKA-018,2016,AnnualGr,82
TOKA-018,2016,Forb,48
TOKA-018,2016,Legumes,10
TOKA-018,2016,PereGr,12
TOKA-018,2016,SedgesRushes,1
TOKA-018,2016,ShrubsTrees,0
TOKA-018,2016,Other,1
TOKA-018,2016,BareGround,5
TOKA-018,2018,AnnualGr,77
TOKA-018,2018,Forb,50
TOKA-018,2018,Legumes,11
TOKA-018,2018,PereGr,6
TOKA-018,2018,SedgesRushes,0
TOKA-018,2018,ShrubsTrees,13
TOKA-018,2018,Other,0
TOKA-018,2018,BareGround,12
TOKA-018,2021,AnnualGr,70
TOKA-018,2021,Forb,52
TOKA-018,2021,Legumes,1
TOKA-018,2021,PereGr,14.000000000000002
TOKA-018,2021,SedgesRushes,2
TOKA-018,2021,ShrubsTrees,27
TOKA-018,2021,Other,0
TOKA-018,2021,BareGround,10
TOKA-018,2024,AnnualGr,53
TOKA-018,2024,Forb,55.00000000000001
TOKA-018,2024,Legumes,21
TOKA-018,2024,PereGr,15
TOKA-018,2024,SedgesRushes,2
TOKA-018,2024,ShrubsTrees,26
TOKA-018,2024,Other,1
TOKA-018,2024,BareGround,13
TOKA-022,2018,AnnualGr,87
TOKA-022,2018,Forb,50
TOKA-022,2018,Legumes,6
TOKA-022,2018,PereGr,1
TOKA-022,2018,SedgesRushes,0
TOKA-022,2018,ShrubsTrees,8
TOKA-022,2018,Other,0
TOKA-022,2018,BareGround,1
TOKA-022,2021,AnnualGr,99
TOKA-022,2021,Forb,41
TOKA-022,2021,Legumes,67
TOKA-022,2021,PereGr,11
TOKA-022,2021,SedgesRushes,0
TOKA-022,2021,ShrubsTrees,40
