id,Species,chao,chao.se,jack1,jack1.se,jack2,boot,boot.se,n
HOCR-001,44,80.20689655172414,28.683976560025222,58.48275862068965,5.42509253497852,69.75492610837439,50.10719476283003,2.6176806560351946,29
HOCR-002,40,46.179310344827584,5.736551558315575,47.724137931034484,3.0641186057273186,50.68349753694581,43.80294267248435,1.8279021579997716,29
HOCR-003,35,36.34099616858238,1.7260998250807058,39.827586206896555,2.5675186853774186,36.40270935960591,38.08739468426453,1.6431788976808877,29
HOCR-004,40,44.88793103448276,4.300351562170699,48.689655172413794,3.7660477079933923,49.88669950738917,44.4198132148531,2.24499275098639,29
HOCR-005,43,47.41379310344828,4.1155387556422225,50.724137931034484,2.730895154927356,51.887931034482754,47.06169354978893,1.7070497719405484,29
HOCR-006,50,54.41379310344828,4.1155387556422225,57.724137931034484,3.364499563489784,58.887931034482754,54.08895055782219,2.011909485692472,29
HOCR-007,45,47.48275862068966,2.733630651374628,50.793103448275865,2.3650245792389306,50.0948275862069,48.286938450250176,1.7327083340543155,29
HOCR-008,45,49.41379310344828,4.1155387556422225,52.724137931034484,3.0641186057273186,53.887931034482754,48.86898660438187,1.8779957644365903,29
HOCR-009,40,43.01724137931034,3.5462902020821803,44.827586206896555,2.5675186853774186,45.891625615763544,42.573523706509995,1.5655142297923326,29
HOCR-010,36,38.41379310344828,2.8705731570024016,40.827586206896555,2.5675186853774186,40.993842364532014,38.71434047889844,1.7430641916974658,29
HOCR-011,47,56.6551724137931,8.098677979635683,56.6551724137931,3.631019746507085,61.476600985221665,51.45903817538149,1.9579321864887955,29
HOCR-012,42,46.73103448275862,4.690168328922389,48.758620689655174,2.908023261008002,50.78694581280788,45.31360266341322,1.5193513014787319,29
TOKA-001,27,37.083333333333336,8.20915816498731,36.166666666666664,5.565269285687999,40.833333333333336,31.193565672153635,2.895524891109655,6
TOKA-002,21,25.6875,4.0277964858282,28.5,4.541475531146237,30.833333333333332,24.66796875,2.8619113366810365,4
TOKA-003,42,49.291666666666664,6.117223899837307,50.75,3.5925269657999785,54.392857142857146,46.29462957382202,2.577845253769319,8
TOKA-004,13,21.333333333333336,7.698003589195011,18,5.1478150704935,18,15.5,2.8722813232690143,2
TOKA-005,26,31.0625,4.484907727192231,33.875,3.4843399661915884,36.125,29.859759151935577,2.1585954429405936,8
TOKA-006,22,27.019607843137255,4.670893894719434,29.529411764705884,3.568411973671318,31.625,25.626736220076605,2.0164131019209903,17
TOKA-007,33,38.25974025974026,4.6376029275552355,41.18181818181818,3.590621392387545,43.39090909090909,37.242184220642024,2.4328081041867518,11
TOKA-008,27,34.202380952380956,5.785877002834913,36.166666666666664,4.199867722784718,39.766666666666666,31.362311385459535,2.3147291110995236,6
TOKA-009,29,59,27.92848008753788,39,5.163977794943222,45.93333333333333,33.299104080932786,2.443957769974106,6
TOKA-010,24,33,7.035623639735144,33,5.408326913195984,37,28.1875,2.8702406258012587,4
TOKA-011,27,33.94444444444444,5.854239433228178,35.333333333333336,4.314059701848262,38.8,30.946480624142662,2.324624409712137,6
TOKA-012,22,29.59375,6.902095045392015,28.75,3.944933459514875,31.916666666666668,25.12109375,2.047527180212985,4
TOKA-013,35,46.142857142857146,8.55713093249825,46.14285714285714,4.43087497693452,51.681318681318686,40.05684940265571,2.4480496816155664,14
TOKA-014,28,44.8,12.405160216619533,40,5.398412465054624,47.023809523809526,33.30096303410994,2.7221161006399903,7
TOKA-015,25,34.34615384615385,8.366975975957414,33.30769230769231,3.0846057931943727,37.82051282051282,28.715779299095857,1.8411880366615914,13
